name,type
Golden Spoon,Hybrid
Key Master,Hybrid
Stantz Kush,Hybrid
Aeon Flux,Hybrid
Zelda Berry,Hybrid
Princess Leia,Hybrid
Powwow,Hybrid
Oaxacan PolywOG,Hybrid
PolywOG,Hybrid
Oaxacan Goldspear,Hybrid
Dino,Hybrid
Garlic Dream,Hybrid
Sour Lime Pie,Hybrid
Girl Scout Glue,Hybrid
Black D.O.G.,Hybrid
Emerald Headband,Hybrid
Cookies N Chem,Hybrid
Oregon Danish,Hybrid
NL X Cannatonic,Hybrid
Kartoon,Hybrid
Bollywood,Hybrid
Teen Spirit,Hybrid
White Apollo 710,Hybrid
White Trainwreck,Hybrid
White Louie,Hybrid
Pink Louie 13th OG,Hybrid
Bourbon Cookies,Hybrid
White Sour Pineapples,Hybrid
White Metal,Hybrid
Superdog,Hybrid
Sweaty Yeti,Hybrid
Duende,Hybrid
All Blues,Hybrid
Rhapsody In Blue,Hybrid
Mystic (Gage Green Group),Hybrid
Foo Fighter,Hybrid
Caregiver,Hybrid
California Dreaming (Gage Green Group),Hybrid
Blue Dynamic,Hybrid
Blue Dynamite OG,Hybrid
Precious Child,Hybrid
Gawd Dawg,Hybrid
Sharon Stone Chem King,Hybrid
Euphoric,Hybrid
Dream Catcher (Gage Green Group),Hybrid
Crimson Crush,Hybrid
Animism,Hybrid
Big Red,Hybrid
The Alchemist,Hybrid
Phoenix Fire,Hybrid
Elysian Fields,Hybrid
Archangel,Hybrid
Ad Hoc,Hybrid
Sophisticated Lady,Hybrid
Raspberry Montage,Hybrid
Le Montage,Hybrid
Impressions,Hybrid
Elegy For JoJo,Hybrid
Cherry Puff #10,Hybrid
Dreamtime (Gage Green Group),Hybrid
Communitas,Hybrid
Aymi,Hybrid
Mendodawg,Hybrid
Hazy Vixen,Hybrid
Big Blue Bang,Hybrid
Critical Cookies,Hybrid
Nom Nom,Hybrid
We Not Me,Hybrid
G.A.W.,Hybrid
Chemdog Haze,Hybrid
Mainline OG,Hybrid
Don Draper,Hybrid
Shark Wreck,Hybrid
Sweet Grapes,Hybrid
Purple Skywalker OG,Hybrid
Jack Of All Trades,Hybrid
Juice Factory OG,Hybrid
Fire OG x In The Pines,Hybrid
Crazy Cookies,Hybrid
Jungle Fruit,Hybrid
Gluekies,Hybrid
Banana Paris,Hybrid
Versailles OG,Hybrid
Jack N Cookies,Hybrid
Pineapple Express X Gorilla Glue #4,Hybrid
Goji Dream,Hybrid
Candy Lemon OG,Hybrid
QuadJacks,Hybrid
Galactic Jack (Sin City Seeds),Hybrid
Alien Dog V2,Hybrid
Happy Nightmare,Hybrid
Sin City Diesel,Hybrid
White Chocolate (Sin City Seeds),Hybrid
Las Vegas Bubba Kush (LVBK),Hybrid
SinCity Bubba,Hybrid
Urban Poison,Hybrid
Sour Grape Diesel,Hybrid
Rip Cindy,Hybrid
Chem 91 X Sour Diesel,Hybrid
Purple Kush Starship,Hybrid
Incredible Power,Hybrid
Harlesin,Hybrid
Thunder Struck,Hybrid
Power Diesel,Hybrid
Purple Dog Shit,Hybrid
Blue Lime Pie,Hybrid
Platinum Delights,Hybrid
Oregon Pineberry,Hybrid
Le Silver Royale,Hybrid
HimaLemon,Hybrid
Guerilla Warfare,Hybrid
Starburst OG,Hybrid
Platinum Bub-Booyah,Hybrid
Booyah,Hybrid
Platinum Moonshine Haze,Hybrid
Power Purps,Hybrid
True Power OG,Hybrid
Blue Petrol,Hybrid
Aliens OM,Hybrid
Sour Flame OG,Hybrid
Jailbait,Hybrid
Hoarfrost,Hybrid
Girl Scout GHash,Hybrid
Double White Dawg,Hybrid
White S1,Hybrid
Devils Dawg,Hybrid
Cujo Cookies,Hybrid
Cherry White,Hybrid
The Rem,Hybrid
Petroleum Nightmare,Hybrid
Intimidator OG,Hybrid
Frozen Tangerines,Hybrid
Gorilien,Hybrid
Indie Kush,Hybrid
Feel Right Kush,Hybrid
Gello,Hybrid
Electric Grape Punch,Hybrid
Jack Kevorkian,Hybrid
Cherry Wave,Hybrid
Dogwalker OG,Hybrid
Dog Shit Cherry Pie,Hybrid
Treasure,Hybrid
Black Betty,Hybrid
Big Black Cherry,Hybrid
Buffalo Cookies,Hybrid
Sour Valley,Hybrid
Purple Gorilla Glue,Hybrid
Blue Dream / Platinum Girl Scout Cookies,Hybrid
FireBall OG,Hybrid
Lemon Pineapple,Hybrid
Hard Cookies,Hybrid
Gelato x Cookies,Hybrid
Wonderdog,Hybrid
Panda Kush Royale,Hybrid
Platinum Bubba Larry,Hybrid
Snazzleberry,Hybrid
Double OG Sour Diesel,Hybrid
Blueberry Trainwreck,Hybrid
Apehanger,Hybrid
Afgoo x G13,Hybrid
Panda OG,Hybrid
OG Chem (Phat Panda),Hybrid
Berry Sour Creme,Hybrid
Supercalifragilistic,Hybrid
Grape Lime Ricky,Hybrid
Durban Mango,Hybrid
Cheezie Pie,Hybrid
Triple Berry Goo,Hybrid
Berry White x OG,Hybrid
Oregon Jewel,Hybrid
Humboldt Honey,Hybrid
Holy Dream,Hybrid
Caramel OG,Hybrid
Weezy,Hybrid
Mad Max,Hybrid
Lukas,Hybrid
Ultimate OG,Hybrid
Silver Widow,Hybrid
Apple Kush,Hybrid
Foul Mouth,Hybrid
Dookies,Hybrid
Citrus Farmer,Hybrid
Skunk Tangerine,Hybrid
Horn Dawg F1,Hybrid
Black Knight F1,Hybrid
Black Hindu F1,Hybrid
Space Rhino F1,Hybrid
Space Jam,Hybrid
Double Lemon Alien Dawg,Hybrid
Alien Napalm,Hybrid
Tres Dawg IX,Hybrid
Bubblegum Chem,Hybrid
DNLD,Hybrid
Chem Urkle 2,Hybrid
Blue Napalm,Hybrid
Tre OG Kush,Hybrid
Guava 13,Hybrid
Thai Girl,Hybrid
Silver Tusk Haze F1,Hybrid
Rhino Hash F1,Hybrid
Sirius Black F1,Hybrid
Puppy Love,Hybrid
Oregon OG F1,Hybrid
Purple Salem Indica,Hybrid
Luna Kush F1,Hybrid
Hathor F1,Hybrid
Wet Dreams F1,Hybrid
Copper Rhino F1,Hybrid
GojiTrip OG F1,Hybrid
Shoji OG F1,Hybrid
Chunky Cherry Malaw F1,Hybrid
Flo-91 F1,Hybrid
Chemical Flo F1,Hybrid
Flo-Cough F1,Hybrid
Whitey,Hybrid
Candy Skunk,Hybrid
Devotion,Hybrid
White Delight,Hybrid
Diamonds & Dust,Hybrid
Willie Nelson (GGG),Hybrid
Mendo Montage F2,Hybrid
Inferno Haze F2,Hybrid
Volcano,Hybrid
Flo-Band F1,Hybrid
Heavy Metal F1,Hybrid
Chem 91 BX1,Hybrid
Jilly Chunk F1,Hybrid
Avalanche F1,Hybrid
Cherry Malawi F2,Hybrid
Swamp Thing,Hybrid
Purple Vapor,Hybrid
Palpatine,Hybrid
Lost Soul,Hybrid
Jersey Mike,Hybrid
Humble Pie,Hybrid
Hot Rod,Hybrid
Grand Slam,Hybrid
Brandy Wine,Hybrid
Super Silver Daze F1,Hybrid
Dirty Girl F1,Hybrid
Black Jill F1,Hybrid
Black Cough F1,Hybrid
Black Malawi F1,Hybrid
Black Phaze F1,Hybrid
Black Silver F1,Hybrid
Black Nights F1,Hybrid
Black Lights F1,Hybrid
Black Hole (GreenMan),Hybrid
Black Rhino F1,Hybrid
Deep North F1,Hybrid
Deep Space F1,Hybrid
BR1947,Hybrid
Phaze99,Hybrid
Shish99 F2,Hybrid
Deep Phaze F1,Hybrid
Super Lemon Haze x GDP,Hybrid
Goodness,Hybrid
Cherry Haze,Hybrid
Purple Citrus,Hybrid
Super Silver OG,Hybrid
Senseless Star,Hybrid
Purple Bazooka,Hybrid
Misty Bubble (Mist Bubble),Hybrid
Double Dutchess,Hybrid
Sweet Dutchess,Hybrid
Bubblelicious,Hybrid
Lava Kush F1,Hybrid
Moon Rocker F1,Hybrid
Toxic Chem F1,Hybrid
Platinum Flo F1,Hybrid
MalawiTrip F1,Hybrid
Chemkaberry F1,Hybrid
Phaze BX1,Hybrid
Platinum Phaze F1 (Iron Phaze),Hybrid
Platinum Cindy F1,Hybrid
Malawi Phaze F1,Hybrid
Barracuda F1,Hybrid
Bubba Chunk F1,Hybrid
Citrus Cindy F1,Hybrid
Sangria,Hybrid
Tahoe White Budlets ,Hybrid
Cherry Cookie Budlets,Hybrid
Bay Mix,Hybrid
Dynamite Grapefruit,Hybrid
Candy Jack x Platinum Cookies,Hybrid
C-13/Green Dragon,Hybrid
Empire Dreams,Hybrid
Dee-OG,Hybrid
White Urkle Deez,Hybrid
Coastal Deez,Hybrid
Dirty Diesel,Hybrid
Gangstas Bubba,Hybrid
Grateful Deez,Hybrid
White Diesel OG,Hybrid
Diesel Breath,Hybrid
Grizzly Diesel,Hybrid
Scremenâ€™ Deez,Hybrid
New York Pimp,Hybrid
Big Apple Deez (ONYCD F2),Hybrid
Empire Diesel,Hybrid
Ghostrider OG V1 F2,Hybrid
Bubba Fire OG,Hybrid
13 Bubbas,Hybrid
Chocolate Bubba 13,Hybrid
Sour 13,Hybrid
Orange Kush 13,Hybrid
New York Bubba,Hybrid
Bubbaâ€™s Coffee,Hybrid
P Dawg,Hybrid
ONYCD (Original NYC Diesel),Hybrid
Sour Lemon D,Hybrid
Sour Tropical D,Hybrid
S.A.G.E. & Lemon,Hybrid
Ohio OG,Hybrid
OG Purple Kush,Hybrid
LemonBerry (Natural Genetics),Hybrid
Kush-G,Hybrid
Northernmatick,Hybrid
Kushical,Hybrid
Ohio Lemon G (Natural Genetics),Hybrid
Bubba Kush 13,Hybrid
NYC HP13,Hybrid
White Romulan #3 x Pre 98 Bubba BX2,Hybrid
White Romulan x Pre 98 Bubba BX2,Hybrid
Grizzly Bubba,Hybrid
Rare Bubba,Hybrid
Southern Knight,Hybrid
Southern Locomotive,Hybrid
Pre 98 Bubba Kush BX2,Hybrid
Super Lemon Bubba,Hybrid
Blood Line,Hybrid
Dirty South,Hybrid
Southern Purp,Hybrid
Orange Bubba Crush,Hybrid
Hillbilly Crack,Hybrid
Southern Ghost,Hybrid
Southside Flame,Hybrid
Strawberry Milkshake,Hybrid
Citrus Smoothie,Hybrid
rOarGe,Hybrid
Platinum Banana OG Kush S1,Hybrid
Banana OgerKush (Orgnkids),Hybrid
Oger Kush (Orgnkid),Hybrid
Lemon Crippler,Hybrid
OG Ghost Pie,Hybrid
Black Animal,Hybrid
Uncirculated OG x PSA x OGKB,Hybrid
Cookies & Cream x Uncirculated OG x PSA,Hybrid
PSA,Hybrid
Uncirculated OG x PSA X Tahoe OG,Hybrid
Uncirculated OG,Hybrid
Spirit Animal,Hybrid
00 Kush Breath,Hybrid
PDPD,Hybrid
Blizzard Bubba,Hybrid
Bubba Scout,Hybrid
Bubba Scout BX,Hybrid
Velvet Pie,Hybrid
Mother Of All Cherries (MOAC),Hybrid
Pineapple Sour Punch,Hybrid
Koshoji GSC,Hybrid
Kenzie Kush,Hybrid
Bdawg Kush,Hybrid
Honey Bucket,Hybrid
Pinkleberry,Hybrid
Oval Office,Hybrid
American Pie,Hybrid
Starcatcher,Hybrid
Thai Hashplant,Hybrid
Secret Agent 008,Hybrid
Secret Agent 007,Hybrid
Bianca,Hybrid
Red Rocket,Hybrid
Power Wreck,Hybrid
Banana Pineapple Express,Hybrid
Purple Alien Dawg,Hybrid
Rattlesnake Diesel,Hybrid
Milkshake Tahoe OG,Hybrid
Pre-98 Bubba Bx2,Hybrid
Blueberry Milkshake,Hybrid
Blue Queen,Hybrid
Rotten Milk,Hybrid
Chocolate Milkshake,Hybrid
Milkshake Burnt Milk,Hybrid
Grizzly Shake,Hybrid
Milk Breath,Hybrid
Spilt Milk,Hybrid
Milkshake F2,Hybrid
OG Shadow,Hybrid
The Mangler,Hybrid
OG Bobbie Johnson,Hybrid
Kiss of Death,Hybrid
Jamaican Fire,Hybrid
Jamaican Sensi,Hybrid
Lavender OG,Hybrid
Purple Fanta,Hybrid
Applegate,Hybrid
Katelyn Faith,Hybrid
VK1 (Voodoo Kookie #1),Hybrid
Harley Sue,Hybrid
Berry White (Guerilla Farms),Hybrid
Pineapple Master,Hybrid
Pineapple Legend,Hybrid
Cherry Legend,Hybrid
Scout Master,Hybrid
Guerilla Meds,Hybrid
Purple Legend,Hybrid
Cosmic Flo F1,Hybrid
Metal Malawi F1,Hybrid
Super Sliver Malawi F1,Hybrid
Super Lemon Chunk F1,Hybrid
Platinum Berry 99 F1,Hybrid
ShishKaTonic F1,Hybrid
Sweet Lemon Juice,Hybrid
Honey Lemon Cheese,Hybrid
HashStar,Hybrid
Half&Half Cookies,Hybrid
Great Purple Shark,Hybrid
Devil Cookies,Hybrid
Gluecherry,Hybrid
Chem Choco Glue,Hybrid
Phantom Glue,Hybrid
SourKaBerry F1,Hybrid
ChemShishter F1,Hybrid
Maximus,Hybrid
Two Wave Hold Down,Hybrid
Dawg Groomer,Hybrid
Sirius,Hybrid
Gas Leak,Hybrid
South Fork Kush,Hybrid
Timber Wolf,Hybrid
Krunk,Hybrid
Merit Badge,Hybrid
Laura Winslow,Hybrid
Vitamin CBD,Hybrid
Larry OG (Guild),Hybrid
LA Valley OG,Hybrid
Sunkiss CBD,Hybrid
Chef OG,Hybrid
Lilly (Guild),Hybrid
CAGG OG,Hybrid
Rebel Sour 2.0,Hybrid
Cheese n Chaze,Hybrid
Diesel Berry,Hybrid
Blue Dream (Rebel Grown),Hybrid
Double OG Sourkush,Hybrid
Double OG Sourlemon,Hybrid
Double OG Sourberry,Hybrid
Double OG Sourscout,Hybrid
Girl Scout Cookies (Rebel Grown),Hybrid
Rebel Sour,Hybrid
OG Sour Durban,Hybrid
Headband OG Sour,Hybrid
OG Sour,Hybrid
Double OG Sour,Hybrid
Harle-Lu,Hybrid
Chili Goo,Hybrid
Sherbert Berry,Hybrid
Blue Race Fuel,Hybrid
ABC (Australian Bastard Cannabis),Hybrid
D.P.D. x Chem 91,Hybrid
Sinister Doja,Hybrid
Citron,Hybrid
Sinister OG,Hybrid
Sinister Kush,Hybrid
Monkey Paw,Hybrid
Strawberry Northern Lights,Hybrid
Yabba Dabba Diesel,Hybrid
Orange Tang,Hybrid
Purple Ribbon,Hybrid
Dutch Punch,Hybrid
Strawberry Banana Sherbert,Hybrid
Clifford,Hybrid
Clementine (Crockett),Hybrid
24K Gold,Hybrid
Sour Sunset,Hybrid
Gingerbread Cookies,Hybrid
Glaucoma,Hybrid
OG Strawberry,Hybrid
Island Mountain Strawberry Afghani,Hybrid
Pure Kush x Strawberry Kush,Hybrid
Green Gorilla,Hybrid
Alien Crack,Hybrid
Blue Rock,Hybrid
Mt. Hood Magic Durban,Hybrid
Buddha Tonic,Hybrid
OG/DC (OGDC),Hybrid
Island OG,Hybrid
Strawberry Kush/Urkle,Hybrid
High Terpenes,Hybrid
High THC,Hybrid
High CBD,Hybrid
strain-test-2,Hybrid
Harle-Cheese,Hybrid
Sour D x Strawberry Kush,Hybrid
Lemon Ogre,Hybrid
OGSK,Hybrid
Royal BA,Hybrid
Terperella,Hybrid
Purple Project,Hybrid
Broad Leaf Black,Hybrid
Sagans Star,Hybrid
The Truth (True Canna Genetics),Hybrid
OG Tangie,Hybrid
Boost Goddess,Hybrid
Lazy Eye,Hybrid
Tahoe White,Hybrid
Fake Ape,Hybrid
Grapes of Cash,Hybrid
Johnny Cash,Hybrid
Spicy Bitch,Hybrid
Yumbolt,Hybrid
White Yoda Auto,Hybrid
White Afghan,Hybrid
SuperJuani,Hybrid
SweetLove,Hybrid
Sugarpop,Hybrid
Naranchup,Hybrid
Naran J,Hybrid
Jack El Frutero,Hybrid
Glue Trap,Hybrid
Bluedawg (Sure Fire),Hybrid
Bluedawg,Hybrid
Balsamic,Hybrid
Grape Candy Cane,Hybrid
Sweet Tangerine,Hybrid
Orphan OG,Hybrid
Yenzo Cookies,Hybrid
Space Mandala,Hybrid
Gaia Candy,Hybrid
Red Dawn,Hybrid
Strawberry Dawg,Hybrid
Pineapple Espresso,Hybrid
Rascal Wreck,Hybrid
Dizzy OG,Hybrid
Blue Ivy,Hybrid
Mind Eraser,Hybrid
Golden Thai,Hybrid
Gold King Thai,Hybrid
Gorilla Wreck 4,Hybrid
Sticky Vicky,Hybrid
Cobalt Kush,Hybrid
White Castle,Hybrid
Sour Herijuana,Hybrid
Love Boat,Hybrid
Blue Star,Hybrid
Smurf,Hybrid
Chemwreck Kush,Hybrid
Jerry Berry Tribute,Hybrid
Medusas Dream,Hybrid
Strawberry Glue,Hybrid
Liquid Kush,Hybrid
Hero OG,Hybrid
Trainwreck Goo,Hybrid
Blackberry Lemonaid,Hybrid
GSC x T.I.T.S.,Hybrid
Silver Chemdog,Hybrid
Operation Blackbird,Hybrid
Niijii Berry,Hybrid
Kerberos Kush,Hybrid
Blackberry Bliss,Hybrid
Banshee Mist,Hybrid
Alien Double Dawg,Hybrid
Alien Dog F3,Hybrid
Old Man OG,Hybrid
Kappo,Hybrid
Agent Tang,Hybrid
G-Wiz,Hybrid
Blueberry Malawi,Hybrid
Trainwreck Malawi,Hybrid
AK-47 x Platinum Alien OG,Hybrid
Amnesia OG,Hybrid
West Coast Sour Diesel (W.C.S.D.),Hybrid
Lands End,Hybrid
Bushman Kush,Hybrid
Colombian Thunder Fuck,Hybrid
Grand Poobah,Hybrid
Lost Moon,Hybrid
Queen of Hearts,Hybrid
Darkwood,Hybrid
Banana D,Hybrid
Bubba Fresh,Hybrid
Pretty Wicked,Hybrid
Quick Draw McGraw,Hybrid
OG Palpatine,Hybrid
Moon Pie,Hybrid
MG Bubba Kush,Hybrid
Hiawassee,Hybrid
Baba Looey,Hybrid
S.L.V.B.K.,Hybrid
Space Queen (Red Bee),Hybrid
Pensacola Punch,Hybrid
OG Organa,Hybrid
Lola Lane,Hybrid
Korman Kush,Hybrid
Jazzy Belle,Hybrid
Harlequinade,Hybrid
Courvoisier,Hybrid
Brittany Murphy,Hybrid
Blue Ridge,Hybrid
Black Unicorn,Hybrid
ATL Confidential,Hybrid
Hybrid,Hybrid
Sativa,Hybrid
Bubbleberry Haze,Hybrid
Fruity OG,Hybrid
Omega,Hybrid
Musk Skunk,Hybrid
CBD OG (CRAFT),Hybrid
Blue Pacific OG,Hybrid
Mail Order Bride,Hybrid
Bubba Love,Hybrid
Bash,Hybrid
Blue Snowdog,Hybrid
Sugar Cookies,Hybrid
Satellite Cindy,Hybrid
Quick Freeze,Hybrid
Willamette Valley Pineapple,Hybrid
Oregon Greens,Hybrid
Iranian Early Flower BX2,Hybrid
Oaxacan Iranian,Hybrid
Afghani/Black Domina Hybrid,Hybrid
Chronic Mendo,Hybrid
Gaia Kush,Hybrid
Mandala Kush,Hybrid
Salted Caramel Kush,Hybrid
Stargazer,Hybrid
Debutant,Hybrid
Pikes Purple,Hybrid
Mountain Goat,Hybrid
Purification,Hybrid
Tillamook Strawberry,Hybrid
Nepalese Rocket,Hybrid
Chromoly Kush,Hybrid
Jade Kush,Hybrid
Dead Bubba,Hybrid
The White Jones,Hybrid
Strawberry Dog Shit,Hybrid
Dirty Bubba,Hybrid
Orange Big-E,Hybrid
Orange Head,Hybrid
Orange A-Dub,Hybrid
Pornage Star,Hybrid
Alien Planet,Hybrid
Silvertip,Hybrid
Slymer Cheez,Hybrid
Skunk Mango (Mango Skunk),Hybrid
Cheez It,Hybrid
Pestilence S1,Hybrid
Banana Mint,Hybrid
Blackberry Beret,Hybrid
Citrus Sap,Hybrid
Jack the Elder,Hybrid
Wrecking Ball,Hybrid
Pure Kush x XXX,Hybrid
Trubble,Hybrid
Rough Wreck,Hybrid
Oaxacan Querkle,Hybrid
Jackberry Kush,Hybrid
Star Fox,Hybrid
Wreckle,Hybrid
OG-47,Hybrid
Moon Walker OG,Hybrid
XXX OG (Triple X OG),Hybrid
Dr. Dog,Hybrid
Lucky Kush,Hybrid
Black Hole,Hybrid
Long-Valley Royal Kush,Hybrid
Cherry Pie OG,Hybrid
Early Vixen,Hybrid
Candy Cream,Hybrid
Aurora Haze,Hybrid
Electric Blues Dream,Hybrid
Super Maui Dawg,Hybrid
Maui Girl,Hybrid
Green Tea,Hybrid
Blueberry Express,Hybrid
Blue Coma,Hybrid
OG x Super Sour Diesel,Hybrid
Cinderella 99 x Champagne,Hybrid
Bubble Goo,Hybrid
Bloo Goo,Hybrid
Boston George,Hybrid
White Dynamite,Hybrid
Harlequin #4,Hybrid
Katsu Bubba Kush x Thai,Hybrid
Purple Yoda,Hybrid
Purple Heart (Alphakronik),Hybrid
Purple Heart (Riot),Hybrid
P.O.W.,Hybrid
Purple Heart,Hybrid
Champagne Diesel,Hybrid
The Rump OG,Hybrid
Biscotti,Hybrid
Oreo Cake,Hybrid
J-AC/DC-K,Hybrid
Tsu Jack City,Hybrid
G Sin X,Hybrid
The Underchunk,Hybrid
Oracle,Hybrid
Grape x OG #18,Hybrid
Cali Connection,Hybrid
Warlock Queen,Hybrid
Sutter Kush,Hybrid
Raw Glue,Hybrid
Betty Crocker,Hybrid
Pink Warhead,Hybrid
Raw Cookies,Hybrid
Grandpas Breath F2,Hybrid
Alion,Hybrid
Platinum Girl Scout Candy,Hybrid
Euphoria Candy,Hybrid
Orange Euphoria,Hybrid
Ice Cream Cake F2,Hybrid
Dream Cookie Glue F2,Hybrid
Confidential Cookies,Hybrid
Dream Cookie F2,Hybrid
Stupor Glue,Hybrid
The Bern,Hybrid
Warhammer,Hybrid
Lovelace,Hybrid
Queen Of Hearts (AlphaKronik),Hybrid
Alice,Hybrid
Bandersnatch,Hybrid
Madhatter,Hybrid
Tesla,Hybrid
White Rabbit,Hybrid
Mango Candy Kush,Hybrid
Prometheus,Hybrid
Lavoo,Hybrid
Mojo (Revolutionary),Hybrid
Creeper,Hybrid
303 Stooges,Hybrid
Clown Shoes OG,Hybrid
Albino Leprechaun,Hybrid
Blue Chem #4,Hybrid
Cereal Killer,Hybrid
Bubba x Bubba,Hybrid
Trainwreck x Bubba Kush,Hybrid
Chocolate Chunk x Bubba Kush,Hybrid
Banana Kush x Bubba,Hybrid
The Blintz,Hybrid
Double Stuffed Orange Cookies,Hybrid
Alien Orange Reclookie,Hybrid
Candy Korn,Hybrid
Kuato,Hybrid
Duke Nukem,Hybrid
Satori Haze,Hybrid
Alien Chemmander,Hybrid
Chemmando,Hybrid
Alexander Kush,Hybrid
Blue Geez,Hybrid
Stairway To Heaven,Hybrid
Faded Alien,Hybrid
Alienfields,Hybrid
Sour OG (AliGee),Hybrid
Flintstones,Hybrid
Channel+,Hybrid
Green Monster,Hybrid
Frosty Kush,Hybrid
Gorilla Diesel,Hybrid
Panama Kush,Hybrid
Redwood OG,Hybrid
Purple Panorama,Hybrid
Panorama Purple,Hybrid
Purple Pantera,Hybrid
Fruitloops,Hybrid
Tropicoma,Hybrid
Limelight,Hybrid
Alien Sour Apple,Hybrid
Blukushima,Hybrid
The Blue,Hybrid
Mossad Kush,Hybrid
Candy Mountain,Hybrid
Agathlan,Hybrid
Con Cheez x Chernobyl,Hybrid
Tangerine Cookies,Hybrid
Blue Elephant,Hybrid
Sour Patch Kiss,Hybrid
XTC OG,Hybrid
Mrs. Natural,Hybrid
Strawberry Snow Cone,Hybrid
Blackberry Dream,Hybrid
Crystal Cascade,Hybrid
Blue Jagger,Hybrid
King Phisher,Hybrid
Mean Misty,Hybrid
Blue Cinex,Hybrid
Lodi Dodi,Hybrid
Jack Herer x Raspberry Kush,Hybrid
Garden Salad,Hybrid
Blood Money,Hybrid
Jagermeister,Hybrid
Indica,Hybrid
Banana Bread,Hybrid
Cripplin Bubba,Hybrid
Chocolate Shake,Hybrid
Milkshake,Hybrid
Chesney Cheese,Hybrid
Bully,Hybrid
Gold Dust,Hybrid
Grand Daddy Smash (GDS),Hybrid
Lion OG,Hybrid
Bread Crumbs,Hybrid
Yuckleberry Wow,Hybrid
Sky Kush,Hybrid
Banana Cough,Hybrid
Meadow Cross,Hybrid
White Meadow,Hybrid
Royal Ogre Kush,Hybrid
Ripcity Purps,Hybrid
Oregon Noble,Hybrid
Bandana,Hybrid
Scrumdiddlyumtious,Hybrid
Slaughtering Betsy,Hybrid
Star Dot,Hybrid
Orange Mints,Hybrid
Mars  Needs Women,Hybrid
Grape Kryptonite,Hybrid
Quick Bud,Hybrid
CBD Girl Scout Cookies,Hybrid
Blue Razz,Hybrid
G Dot,Hybrid
Orange Monster,Hybrid
Orange Dot (Franchise),Hybrid
Lumbo Tech,Hybrid
Syrup,Hybrid
White Dwarf (Buddha Seeds),Hybrid
Power Africa,Hybrid
Quasar,Hybrid
Pulsar,Hybrid
Magnum (Buddha Seeds),Hybrid
Buddha Purple Kush,Hybrid
Deimos,Hybrid
Big Lights,Hybrid
Cookie Tech,Hybrid
Orange Glue (Franchise),Hybrid
Alien Apparition,Hybrid
Natural Born Killer,Hybrid
Strawberry Spider Bite,Hybrid
Orange Fruity Pebbles,Hybrid
Orange #43,Hybrid
OJSDKB,Hybrid
Alien Orange Gum,Hybrid
Gummo,Hybrid
Alien Orange Cookies,Hybrid
Mystic Sour Diesel,Hybrid
OZ OG,Hybrid
Pink Flamingo,Hybrid
Pinkfruit OG,Hybrid
Power Train,Hybrid
Victory Cookies,Hybrid
Turbo OG,Hybrid
Truthbomb,Hybrid
Truffle Butter OG,Hybrid
Skywalker Diesel,Hybrid
Orange Chicken,Hybrid
Mandarin Kush,Hybrid
Sour Monkey (Relentless Genetics),Hybrid
Loud Mouth,Hybrid
White Lemons (Relentless Genetics),Hybrid
Paledog,Hybrid
Frosted Mint Cookies,Hybrid
Headband OG (Relentless Genetics),Hybrid
OG Cookies,Hybrid
OG Pie,Hybrid
Exodus OG,Hybrid
Strawberry Cough OG,Hybrid
SR71OG,Hybrid
Cap OG,Hybrid
OG Walker,Hybrid
Orange Pie,Hybrid
Orange Dawg,Hybrid
Agent Cheese,Hybrid
Agent Walker,Hybrid
Tangerine Headband,Hybrid
Orange Cookies (Relentless Genetics),Hybrid
Tangerine Mints,Hybrid
White Fighter,Hybrid
Whurkle,Hybrid
Orange Frost,Hybrid
Yeti,Hybrid
Frosted Oranges,Hybrid
WhiteCap,Hybrid
Queso Blanco,Hybrid
Frosty Headband,Hybrid
Whitebird,Hybrid
Cherry Cookies F2,Hybrid
Frosted Cherry Cookies,Hybrid
Mint Fire Cookies,Hybrid
SFV Fire Cookies,Hybrid
Banana Fire Cookies,Hybrid
Ghost Fire Cookies,Hybrid
Fire Cookies F2v2,Hybrid
Diesel Fire Cookies,Hybrid
Black Blizzard,Hybrid
Black Lemons,Hybrid
Blackberry Rose,Hybrid
Steve Urkle,Hybrid
Purple Bomb,Hybrid
Blackbird,Hybrid
Who Dat Orange Kush,Hybrid
Big Easy OG,Hybrid
White Platinum OG,Hybrid
White Pie,Hybrid
Strawberry Fire Cough OG,Hybrid
Snow Fire OG,Hybrid
Relentless Wifi V2,Hybrid
Fire Cookies V2,Hybrid
Lemon Fire OG,Hybrid
Glue Fire OG,Hybrid
Frosted Strawberries,Hybrid
Firedawg OG,Hybrid
Fire Cherry Cookies,Hybrid
Cherry Cookie,Hybrid
Diesel Fire OG (Relentless Genetics),Hybrid
Uncle Remus,Hybrid
White Diagonal,Hybrid
Purple Panda,Hybrid
ACDC x Querkle,Hybrid
Double Platinum Cookies,Hybrid
Ganja Ma #2,Hybrid
Blu Sugar,Hybrid
Tangie Ewok OG,Hybrid
Purple River x Huckleberry OG,Hybrid
Huckleberry OG x Branscom,Hybrid
Dago OG,Hybrid
Cherry Fire Pie OG,Hybrid
Cheesy Fire OG,Hybrid
Purp Diesel,Hybrid
Cookie Frost,Hybrid
Banana Fire OG,Hybrid
Albino Albert,Hybrid
818 SFV Fire OG,Hybrid
White Cookies (Relentless Genetics),Hybrid
818 Pure SFV OG S1,Hybrid
Orange Glue,Hybrid
Orange Cream Cookies,Hybrid
Sexy Mexy,Hybrid
